Longitude	Latitude	Mean_HF	Median_HF	Total_Erro
91	-87	65	65	41.5
93	-87	65	65	41.5
95	-87	65	65	41.5
97	-87	65	65	41.5
99	-87	65	65	41.5
101	-87	65	65	41.5
103	-87	65	65	41.5
105	-87	65	65	41.5
107	-87	65	65	41.5
109	-87	65	65	41.5
111	-87	65	65	41.5
113	-87	65	65	41.5
115	-87	65	65	41.5
117	-87	65	65	41.5
119	-87	65	65	41.5
121	-87	65	65	41.5
123	-87	65	65	41.5
125	-87	65	65	41.5
127	-87	65	65	41.5
129	-87	65	65	41.5
131	-87	65	65	41.5
133	-87	65	65	41.5
135	-87	65	65	41.5
137	-87	65	65	41.5
139	-87	65	65	41.5
141	-87	65	65	41.5
143	-87	65	65	41.5
145	-87	65	65	41.5
147	-87	65	65	41.5
149	-87	65	65	41.5
151	-87	65	65	41.5
153	-87	65	65	41.5
155	-87	65	65	41.5
157	-87	65	65	41.5
159	-87	65	65	41.5
161	-87	65	65	41.5
163	-87	65	65	41.5
165	-87	65	65	41.5
167	-87	65	65	41.5
169	-87	65	65	41.5
171	-87	65	65	41.5
173	-87	65	65	41.5
175	-87	65	65	41.5
177	-87	65	65	41.5
179	-87	65	65	41.5
-179	-85	100	100	41.5
-177	-85	100	100	41.5
-175	-85	100	100	41.5
-173	-85	100	100	41.5
-171	-85	100	100	41.5
-169	-85	100	100	41.5
-167	-85	100	100	41.5
-165	-85	100	100	41.5
-163	-85	100	100	41.5
-161	-85	100	100	41.5
-159	-85	100	100	41.5
-157	-85	100	100	41.5
-155	-85	100	100	41.5
-153	-85	100	100	41.5
-151	-85	100	100	41.5
-149	-85	100	100	41.5
-147	-85	100	100	41.5
-145	-85	100	100	41.5
-143	-85	100	100	41.5
-141	-85	100	100	41.5
-139	-85	100	100	41.5
-137	-85	100	100	41.5
-135	-85	100	100	41.5
-133	-85	100	100	41.5
-131	-85	100	100	41.5
-129	-85	100	100	41.5
-127	-85	100	100	41.5
-125	-85	100	100	41.5
-123	-85	100	100	41.5
-121	-85	100	100	41.5
-119	-85	100	100	41.5
-117	-85	100	100	41.5
-115	-85	100	100	41.5
-113	-85	100	100	41.5
-111	-85	100	100	41.5
-109	-85	100	100	41.5
-107	-85	100	100	41.5
-105	-85	100	100	41.5
-103	-85	100	100	41.5
-101	-85	100	100	41.5
-99	-85	100	100	41.5
-97	-85	100	100	41.5
-95	-85	100	100	41.5
-93	-85	100	100	41.5
-91	-85	100	100	41.5
-89	-85	100	100	41.5
-87	-85	100	100	41.5
-85	-85	100	100	41.5
-83	-85	100	100	41.5
-81	-85	100	100	41.5
-79	-85	100	100	41.5
-77	-85	100	100	41.5
-75	-85	100	100	41.5
-73	-85	100	100	41.5
-71	-85	100	100	41.5
-69	-85	100	100	41.5
-67	-85	100	100	41.5
-65	-85	100	100	41.5
-63	-85	100	100	41.5
-61	-85	100	100	41.5
-59	-85	100	100	41.5
-57	-85	100	100	41.5
-55	-85	100	100	41.5
-53	-85	100	100	41.5
-51	-85	100	100	41.5
-49	-85	100	100	41.5
-47	-85	100	100	41.5
-45	-85	100	100	41.5
-43	-85	65	65	41.5
-41	-85	65	65	41.5
-39	-85	65	65	41.5
-37	-85	65	65	41.5
-35	-85	65	65	41.5
-33	-85	65	65	41.5
-31	-85	65	65	41.5
-29	-85	65	65	41.5
-27	-85	65	65	41.5
-25	-85	65	65	41.5
-23	-85	65	65	41.5
-21	-85	65	65	41.5
-19	-85	65	65	41.5
-17	-85	65	65	41.5
-15	-85	65	65	41.5
-13	-85	65	65	41.5
-11	-85	65	65	41.5
-9	-85	65	65	41.5
-7	-85	65	65	41.5
-5	-85	65	65	41.5
-3	-85	65	65	41.5
-1	-85	65	65	41.5
1	-85	65	65	41.5
3	-85	65	65	41.5
5	-85	65	65	41.5
7	-85	65	65	41.5
9	-85	65	65	41.5
11	-85	65	65	41.5
13	-85	65	65	41.5
15	-85	65	65	41.5
17	-85	65	65	41.5
19	-85	65	65	41.5
21	-85	65	65	41.5
23	-85	65	65	41.5
25	-85	65	65	41.5
27	-85	65	65	41.5
29	-85	65	65	41.5
31	-85	65	65	41.5
33	-85	65	65	41.5
35	-85	65	65	41.5
37	-85	65	65	41.5
39	-85	65	65	41.5
41	-85	65	65	41.5
43	-85	65	65	41.5
45	-85	65	65	41.5
47	-85	65	65	41.5
49	-85	65	65	41.5
51	-85	65	65	41.5
53	-85	65	65	41.5
55	-85	65	65	41.5
57	-85	65	65	41.5
59	-85	65	65	41.5
61	-85	65	65	41.5
63	-85	65	65	41.5
65	-85	65	65	41.5
67	-85	65	65	41.5
69	-85	65	65	41.5
71	-85	65	65	41.5
73	-85	65	65	41.5
75	-85	65	65	41.5
77	-85	65	65	41.5
79	-85	65	65	41.5
81	-85	65	65	41.5
83	-85	65	65	41.5
85	-85	65	65	41.5
87	-85	65	65	41.5
89	-85	65	65	41.5
91	-85	65	65	41.5
93	-85	65	65	41.5
95	-85	65	65	41.5
97	-85	65	65	41.5
99	-85	65	65	41.5
101	-85	65	65	41.5
103	-85	65	65	41.5
105	-85	65	65	41.5
107	-85	65	65	41.5
109	-85	65	65	41.5
111	-85	65	65	41.5
113	-85	65	65	41.5
115	-85	65	65	41.5
117	-85	65	65	41.5
119	-85	65	65	41.5
121	-85	65	65	41.5
123	-85	65	65	41.5
125	-85	65	65	41.5
127	-85	65	65	41.5
129	-85	65	65	41.5
131	-85	65	65	41.5
133	-85	65	65	41.5
135	-85	65	65	41.5
137	-85	65	65	41.5
139	-85	65	65	41.5
141	-85	65	65	41.5
143	-85	65	65	41.5
145	-85	65	65	41.5
147	-85	65	65	41.5
149	-85	65	65	41.5
151	-85	65	65	41.5
153	-85	65	65	41.5
155	-85	65	65	41.5
157	-85	65	65	41.5
159	-85	65	65	41.5
161	-85	65	65	41.5
163	-85	65	65	41.5
165	-85	65	65	41.5
167	-85	65	65	41.5
169	-85	65	65	41.5
171	-85	65	65	41.5
173	-85	65	65	41.5
175	-85	65	65	41.5
177	-85	65	65	41.5
179	-85	65	65	41.5
-179	-83	100	100	41.5
-177	-83	100	100	41.5
-175	-83	100	100	41.5
-173	-83	100	100	41.5
-171	-83	100	100	41.5
-169	-83	100	100	41.5
-167	-83	100	100	41.5
-165	-83	100	100	41.5
-163	-83	100	100	41.5
-161	-83	100	100	41.5
-159	-83	100	100	41.5
-157	-83	100	100	41.5
-155	-83	100	100	41.5
-153	-83	100	100	41.5
-151	-83	100	100	41.5
-149	-83	100	100	41.5
-147	-83	100	100	41.5
-145	-83	100	100	41.5
-143	-83	100	100	41.5
-141	-83	100	100	41.5
-139	-83	100	100	41.5
-137	-83	100	100	41.5
-135	-83	100	100	41.5
-133	-83	100	100	41.5
-131	-83	100	100	41.5
